component_id,kind,source_path,target_path,language,framework,build_tool,default_port,contract_file,depends_on,required_env,notes
database,service,TraderSpec/codebase/generated-components/database-specfirst,apps/database,Java,H2 server + scripts,Gradle,18082,none,none,DATABASE_WEB_HOSTNAMES,"Hosts H2 DB runtime; exposes 18082/18083/18084."
reference-data,service,TraderSpec/codebase/generated-components/reference-data-specfirst,apps/reference-data,TypeScript,NestJS,npm,18085,specs/001-baseline-uncontainerized-parity/contracts/reference-data/openapi.yaml,database,none,"Provides /stocks and /stocks/{ticker}."
trade-feed,service,TraderSpec/codebase/generated-components/trade-feed-specfirst,apps/trade-feed,JavaScript,Node + Socket.IO,npm,18086,none,none,TRADE_FEED_PORT|CORS_ALLOWED_ORIGINS,"PubSub broker with publish/subscribe events."
people-service,service,TraderSpec/codebase/generated-components/people-service-specfirst,apps/people-service,C#,ASP.NET Core,dotnet,18089,specs/001-baseline-uncontainerized-parity/contracts/people-service/openapi.yaml,none,PEOPLE_SERVICE_PORT|CORS_ALLOWED_ORIGINS,"Directory lookups and person validation."
account-service,service,TraderSpec/codebase/generated-components/account-service-specfirst,apps/account-service,Java,Spring Boot,Gradle,18088,specs/001-baseline-uncontainerized-parity/contracts/account-service/openapi.yaml,database|people-service,ACCOUNT_SERVICE_PORT|DATABASE_TCP_HOST|PEOPLE_SERVICE_HOST|PEOPLE_SERVICE_URL|CORS_ALLOWED_ORIGINS,"Accounts and account-user mappings."
position-service,service,TraderSpec/codebase/generated-components/position-service-specfirst,apps/position-service,Java,Spring Boot,Gradle,18090,specs/001-baseline-uncontainerized-parity/contracts/position-service/openapi.yaml,database,POSITION_SERVICE_PORT|DATABASE_TCP_HOST|DATABASE_TCP_PORT|DATABASE_NAME|DATABASE_DBUSER|DATABASE_DBPASS|CORS_ALLOWED_ORIGINS,"Trades/positions read model APIs."
trade-service,service,TraderSpec/codebase/generated-components/trade-service-specfirst,apps/trade-service,Java,Spring Boot,Gradle,18092,specs/001-baseline-uncontainerized-parity/contracts/trade-service/openapi.yaml,account-service|reference-data|people-service|trade-feed|trade-processor,TRADING_SERVICE_PORT|ACCOUNT_SERVICE_URL|ACCOUNT_SERVICE_HOST|REFERENCE_DATA_SERVICE_URL|REFERENCE_DATA_HOST|PEOPLE_SERVICE_URL|PEOPLE_SERVICE_HOST|TRADE_FEED_ADDRESS|TRADE_FEED_HOST|CORS_ALLOWED_ORIGINS,"Validates account+ticker and publishes new trade orders to /trades."
trade-processor,service,TraderSpec/codebase/generated-components/trade-processor-specfirst,apps/trade-processor,Java,Spring Boot,Gradle,18091,specs/001-baseline-uncontainerized-parity/contracts/trade-processor/openapi.yaml,database|trade-feed,TRADE_PROCESSOR_SERVICE_PORT|DATABASE_TCP_HOST|DATABASE_TCP_PORT|DATABASE_NAME|DATABASE_DBUSER|DATABASE_DBPASS|TRADE_FEED_ADDRESS|TRADE_FEED_HOST|CORS_ALLOWED_ORIGINS,"Consumes /trades topic, persists trades/positions, and publishes account trade/position updates."
web-front-end-angular,ui,TraderSpec/codebase/generated-components/web-front-end-angular-specfirst,apps/web-front-end/angular,TypeScript,Angular,npm,18093,none,account-service|trade-service|position-service|reference-data|people-service|trade-feed|trade-processor,WEB_SERVICE_PORT,"Primary UI for account/trade workflows with FINOS TraderX branding assets."
ingress,edge,ingress,apps/ingress,Nginx,Nginx,Docker build,8080,none,web-front-end-angular|trade-service|account-service|position-service|people-service|trade-feed,TRADERX_FQDN,"Edge routing for browser access."
